,Company Name,Form Type,CIK,Date Filed,URL
522,"Installed Building Products, Inc.",10-K,1580905,20190228,http://www.sec.gov/Archives/edgar/data/1580905/0001193125-19-057931-index.htm
523,"Interactive Brokers Group, Inc.",10-K,1381197,20190228,http://www.sec.gov/Archives/edgar/data/1381197/0001140361-19-004097-index.htm
524,"Intersect ENT, Inc.",10-K,1271214,20190228,http://www.sec.gov/Archives/edgar/data/1271214/0001193125-19-057406-index.htm
525,Invesco DB Commodity Index Tracking Fund,10-K,1328237,20190228,http://www.sec.gov/Archives/edgar/data/1328237/0001564590-19-005072-index.htm
526,Invesco DB Energy Fund,10-K,1383062,20190228,http://www.sec.gov/Archives/edgar/data/1383062/0001564590-19-005089-index.htm
527,Invesco DB G10 Currency Harvest Fund,10-K,1354730,20190228,http://www.sec.gov/Archives/edgar/data/1354730/0001564590-19-005105-index.htm
528,Invesco DB Gold Fund,10-K,1383055,20190228,http://www.sec.gov/Archives/edgar/data/1383055/0001564590-19-005102-index.htm
529,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005079-index.htm
530,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005089-index.htm
531,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005092-index.htm
532,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005096-index.htm
533,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005099-index.htm
534,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005102-index.htm
535,Invesco DB Multi-Sector Commodity Trust,10-K,1367306,20190228,http://www.sec.gov/Archives/edgar/data/1367306/0001564590-19-005108-index.htm
536,Invesco DB Oil Fund,10-K,1383058,20190228,http://www.sec.gov/Archives/edgar/data/1383058/0001564590-19-005096-index.htm
537,Invesco DB Precious Metals Fund,10-K,1383057,20190228,http://www.sec.gov/Archives/edgar/data/1383057/0001564590-19-005099-index.htm
538,Invesco DB US Dollar Index Bullish Fund,10-K,1383151,20190228,http://www.sec.gov/Archives/edgar/data/1383151/0001564590-19-005087-index.htm
539,Invesco DB US Dollar Index Trust,10-K,1371571,20190228,http://www.sec.gov/Archives/edgar/data/1371571/0001564590-19-005087-index.htm
540,Invesco DB US Dollar Index Trust,10-K,1371571,20190228,http://www.sec.gov/Archives/edgar/data/1371571/0001564590-19-005107-index.htm
541,Invitae Corp,10-K,1501134,20190228,http://www.sec.gov/Archives/edgar/data/1501134/0001501134-19-000022-index.htm
542,Invitation Homes Inc.,10-K,1687229,20190228,http://www.sec.gov/Archives/edgar/data/1687229/0001687229-19-000014-index.htm
543,Iridium Communications Inc.,10-K,1418819,20190228,http://www.sec.gov/Archives/edgar/data/1418819/0001418819-19-000005-index.htm
544,Jagged Peak Energy Inc.,10-K,1685715,20190228,http://www.sec.gov/Archives/edgar/data/1685715/0001685715-19-000005-index.htm
545,John Bean Technologies CORP,10-K,1433660,20190228,http://www.sec.gov/Archives/edgar/data/1433660/0001433660-19-000006-index.htm
546,"Jones Energy, Inc.",10-K,1573166,20190228,http://www.sec.gov/Archives/edgar/data/1573166/0001558370-19-001358-index.htm
547,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,1069258,20190228,http://www.sec.gov/Archives/edgar/data/1069258/0001628280-19-002271-index.htm
548,Karyopharm Therapeutics Inc.,10-K,1503802,20190228,http://www.sec.gov/Archives/edgar/data/1503802/0001193125-19-057610-index.htm
549,Keurig Dr Pepper Inc.,10-K,1418135,20190228,http://www.sec.gov/Archives/edgar/data/1418135/0001418135-19-000007-index.htm
550,"Kinsale Capital Group, Inc.",10-K,1669162,20190228,http://www.sec.gov/Archives/edgar/data/1669162/0001669162-19-000005-index.htm
551,Knight-Swift Transportation Holdings Inc.,10-K,1492691,20190228,http://www.sec.gov/Archives/edgar/data/1492691/0001492691-19-000012-index.htm
552,Kraft Heinz Co NT,10-K,1637459,20190228,http://www.sec.gov/Archives/edgar/data/1637459/0001637459-19-000019-index.htm
553,Kraton Corp,10-K,1321646,20190228,http://www.sec.gov/Archives/edgar/data/1321646/0001321646-19-000025-index.htm
554,LABORATORY CORP OF AMERICA HOLDINGS,10-K,920148,20190228,http://www.sec.gov/Archives/edgar/data/920148/0000920148-19-000033-index.htm
555,LAKE AREA CORN PROCESSORS LLC,10-K,1156174,20190228,http://www.sec.gov/Archives/edgar/data/1156174/0001156174-19-000004-index.htm
556,LAKELAND FINANCIAL CORP,10-K,721994,20190228,http://www.sec.gov/Archives/edgar/data/721994/0000721994-19-000011-index.htm
557,"LAUREATE EDUCATION, INC.",10-K,912766,20190228,http://www.sec.gov/Archives/edgar/data/912766/0001047469-19-000767-index.htm
558,"LHC Group, Inc",10-K,1303313,20190228,http://www.sec.gov/Archives/edgar/data/1303313/0001303313-19-000016-index.htm
559,LIGAND PHARMACEUTICALS INC,10-K,886163,20190228,http://www.sec.gov/Archives/edgar/data/886163/0000886163-19-000041-index.htm
560,"LINDBLAD EXPEDITIONS HOLDINGS, INC.",10-K,1512499,20190228,http://www.sec.gov/Archives/edgar/data/1512499/0001437749-19-003639-index.htm
561,LTC PROPERTIES INC,10-K,887905,20190228,http://www.sec.gov/Archives/edgar/data/887905/0001558370-19-001333-index.htm
562,Ladder Capital Corp,10-K,1577670,20190228,http://www.sec.gov/Archives/edgar/data/1577670/0001577670-19-000002-index.htm
563,Leader Hill Corp,10-K,1723187,20190228,http://www.sec.gov/Archives/edgar/data/1723187/0001493152-19-002703-index.htm
564,"LendingTree, Inc.",10-K,1434621,20190228,http://www.sec.gov/Archives/edgar/data/1434621/0001434621-19-000014-index.htm
565,Liberty Media Corp,10-K,1560385,20190228,http://www.sec.gov/Archives/edgar/data/1560385/0001558370-19-001329-index.htm
566,Liberty Oilfield Services Inc.,10-K,1694028,20190228,http://www.sec.gov/Archives/edgar/data/1694028/0001694028-19-000015-index.htm
567,"Live Nation Entertainment, Inc.",10-K,1335258,20190228,http://www.sec.gov/Archives/edgar/data/1335258/0001335258-19-000024-index.htm
568,Livent Corp.,10-K,1742924,20190228,http://www.sec.gov/Archives/edgar/data/1742924/0001742924-19-000013-index.htm
569,MAGELLAN HEALTH INC,10-K,19411,20190228,http://www.sec.gov/Archives/edgar/data/19411/0001558370-19-001288-index.htm
570,MARINE PRODUCTS CORP,10-K,1129155,20190228,http://www.sec.gov/Archives/edgar/data/1129155/0001144204-19-011172-index.htm
571,MARKEL CORP,10-K,1096343,20190228,http://www.sec.gov/Archives/edgar/data/1096343/0001096343-19-000074-index.htm
572,MASTEC INC,10-K,15615,20190228,http://www.sec.gov/Archives/edgar/data/15615/0000015615-19-000011-index.htm
573,MBIA INC,10-K,814585,20190228,http://www.sec.gov/Archives/edgar/data/814585/0001193125-19-057808-index.htm
574,MERCADOLIBRE INC,10-K,1099590,20190228,http://www.sec.gov/Archives/edgar/data/1099590/0001562762-19-000047-index.htm
575,MOHAWK INDUSTRIES INC,10-K,851968,20190228,http://www.sec.gov/Archives/edgar/data/851968/0000851968-19-000020-index.htm
576,MOSAIC CO NT,10-K,1285785,20190228,http://www.sec.gov/Archives/edgar/data/1285785/0001243786-19-000011-index.htm
577,MPLX LP,10-K,1552000,20190228,http://www.sec.gov/Archives/edgar/data/1552000/0001552000-19-000006-index.htm
578,MUFG Americas Holdings Corp,10-K,1011659,20190228,http://www.sec.gov/Archives/edgar/data/1011659/0001628280-19-002156-index.htm
579,Marathon Petroleum Corp,10-K,1510295,20190228,http://www.sec.gov/Archives/edgar/data/1510295/0001510295-19-000014-index.htm
580,"Match Group, Inc.",10-K,1575189,20190228,http://www.sec.gov/Archives/edgar/data/1575189/0001575189-19-000020-index.htm
581,Menlo Therapeutics Inc.,10-K,1566044,20190228,http://www.sec.gov/Archives/edgar/data/1566044/0001564590-19-005451-index.htm
582,"Midland States Bancorp, Inc.",10-K,1466026,20190228,http://www.sec.gov/Archives/edgar/data/1466026/0001558370-19-001224-index.htm
583,Mikrocoze Inc.,10-K,1697587,20190228,http://www.sec.gov/Archives/edgar/data/1697587/0001477932-19-000726-index.htm
584,Milacron Holdings Corp.,10-K,1637913,20190228,http://www.sec.gov/Archives/edgar/data/1637913/0001637913-19-000006-index.htm
585,"Mirati Therapeutics, Inc.",10-K,1576263,20190228,http://www.sec.gov/Archives/edgar/data/1576263/0001628280-19-002289-index.htm
586,Monster Beverage Corp,10-K,865752,20190228,http://www.sec.gov/Archives/edgar/data/865752/0001104659-19-011581-index.htm
587,MyoKardia Inc,10-K,1552451,20190228,http://www.sec.gov/Archives/edgar/data/1552451/0001564590-19-005543-index.htm
588,NABORS INDUSTRIES LTD,10-K,1163739,20190228,http://www.sec.gov/Archives/edgar/data/1163739/0001558370-19-001349-index.htm
589,NAVIGANT CONSULTING INC,10-K,1019737,20190228,http://www.sec.gov/Archives/edgar/data/1019737/0001564590-19-005539-index.htm
590,NAVIGATORS GROUP INC,10-K,793547,20190228,http://www.sec.gov/Archives/edgar/data/793547/0001564590-19-005145-index.htm
591,NCR CORP,10-K,70866,20190228,http://www.sec.gov/Archives/edgar/data/70866/0000070866-19-000007-index.htm
592,"NRG ENERGY, INC.",10-K,1013871,20190228,http://www.sec.gov/Archives/edgar/data/1013871/0001013871-19-000007-index.htm
593,NUCOR CORP,10-K,73309,20190228,http://www.sec.gov/Archives/edgar/data/73309/0001193125-19-057744-index.htm
594,Nestbuilder.com Corp.,10-K,1725516,20190228,http://www.sec.gov/Archives/edgar/data/1725516/0001493152-19-002686-index.htm
595,New Media Investment Group Inc.,10-K,1579684,20190228,http://www.sec.gov/Archives/edgar/data/1579684/0001579684-19-000003-index.htm
596,Nielsen Holdings plc,10-K,1492633,20190228,http://www.sec.gov/Archives/edgar/data/1492633/0001564590-19-005165-index.htm
597,NovoCure Ltd,10-K,1645113,20190228,http://www.sec.gov/Archives/edgar/data/1645113/0001564590-19-005146-index.htm
598,NuStar Energy L.P.,10-K,1110805,20190228,http://www.sec.gov/Archives/edgar/data/1110805/0001110805-19-000049-index.htm
599,OCEANEERING INTERNATIONAL INC,10-K,73756,20190228,http://www.sec.gov/Archives/edgar/data/73756/0000073756-19-000011-index.htm
600,OLD REPUBLIC INTERNATIONAL CORP,10-K,74260,20190228,http://www.sec.gov/Archives/edgar/data/74260/0000074260-19-000016-index.htm
601,ORASURE TECHNOLOGIES INC,10-K,1116463,20190228,http://www.sec.gov/Archives/edgar/data/1116463/0001564590-19-005491-index.htm
602,Ophthotech Corp.,10-K,1410939,20190228,http://www.sec.gov/Archives/edgar/data/1410939/0001410939-19-000012-index.htm
603,"Origin Bancorp, Inc.",10-K,1516912,20190228,http://www.sec.gov/Archives/edgar/data/1516912/0001516912-19-000018-index.htm
604,Oxford Square Capital Corp.,10-K,1259429,20190228,http://www.sec.gov/Archives/edgar/data/1259429/0001615774-19-003361-index.htm
605,PACIFIC GAS & ELECTRIC Co,10-K,75488,20190228,http://www.sec.gov/Archives/edgar/data/75488/0001004980-19-000004-index.htm
606,PACKAGING CORP OF AMERICA,10-K,75677,20190228,http://www.sec.gov/Archives/edgar/data/75677/0001564590-19-005284-index.htm
607,PAPA JOHNS INTERNATIONAL INC NT,10-K,901491,20190228,http://www.sec.gov/Archives/edgar/data/901491/0001104659-19-011607-index.htm
608,PATRICK INDUSTRIES INC,10-K,76605,20190228,http://www.sec.gov/Archives/edgar/data/76605/0000076605-19-000040-index.htm
609,"PDC ENERGY, INC.",10-K,77877,20190228,http://www.sec.gov/Archives/edgar/data/77877/0000077877-19-000009-index.htm
610,PENN NATIONAL GAMING INC,10-K,921738,20190228,http://www.sec.gov/Archives/edgar/data/921738/0000921738-19-000011-index.htm
611,PFIZER INC,10-K,78003,20190228,http://www.sec.gov/Archives/edgar/data/78003/0000078003-19-000015-index.htm
612,PG&E Corp,10-K,1004980,20190228,http://www.sec.gov/Archives/edgar/data/1004980/0001004980-19-000004-index.htm
613,PIEDMONT NATURAL GAS CO INC,10-K,78460,20190228,http://www.sec.gov/Archives/edgar/data/78460/0001326160-19-000057-index.htm
614,PINNACLE FINANCIAL PARTNERS INC,10-K,1115055,20190228,http://www.sec.gov/Archives/edgar/data/1115055/0001115055-19-000011-index.htm
615,PJT Partners Inc.,10-K,1626115,20190228,http://www.sec.gov/Archives/edgar/data/1626115/0001564590-19-005523-index.htm
616,"PRA Health Sciences, Inc.",10-K,1613859,20190228,http://www.sec.gov/Archives/edgar/data/1613859/0001613859-19-000008-index.htm
617,PROGRESS ENERGY INC,10-K,1094093,20190228,http://www.sec.gov/Archives/edgar/data/1094093/0001326160-19-000057-index.htm
618,PSEG POWER LLC,10-K,1158659,20190228,http://www.sec.gov/Archives/edgar/data/1158659/0000788784-19-000005-index.htm
619,PUBLIC SERVICE ELECTRIC & GAS CO,10-K,81033,20190228,http://www.sec.gov/Archives/edgar/data/81033/0000788784-19-000005-index.htm
620,PUBLIC SERVICE ENTERPRISE GROUP INC,10-K,788784,20190228,http://www.sec.gov/Archives/edgar/data/788784/0000788784-19-000005-index.htm
621,"Pacira Pharmaceuticals, Inc.",10-K,1396814,20190228,http://www.sec.gov/Archives/edgar/data/1396814/0001396814-19-000008-index.htm
622,Park Hotels & Resorts Inc.,10-K,1617406,20190228,http://www.sec.gov/Archives/edgar/data/1617406/0001564590-19-005443-index.htm
623,Party City Holdco Inc.,10-K,1592058,20190228,http://www.sec.gov/Archives/edgar/data/1592058/0001193125-19-057714-index.htm
624,"Photozou Holdings, Inc. NT",10-K,1627469,20190228,http://www.sec.gov/Archives/edgar/data/1627469/0001599916-19-000032-index.htm
625,Physicians Realty L.P.,10-K,1583994,20190228,http://www.sec.gov/Archives/edgar/data/1583994/0001574540-19-000013-index.htm
626,Physicians Realty Trust,10-K,1574540,20190228,http://www.sec.gov/Archives/edgar/data/1574540/0001574540-19-000013-index.htm
627,Platinum Eagle Acquisition Corp.,10-K,1712189,20190228,http://www.sec.gov/Archives/edgar/data/1712189/0001144204-19-010762-index.htm
628,Playa Hotels & Resorts N.V.,10-K,1692412,20190228,http://www.sec.gov/Archives/edgar/data/1692412/0001692412-19-000010-index.htm
629,Primoris Services Corp,10-K,1361538,20190228,http://www.sec.gov/Archives/edgar/data/1361538/0001558370-19-001230-index.htm
630,PureBase Corp NT,10-K,1575858,20190228,http://www.sec.gov/Archives/edgar/data/1575858/0001493152-19-002722-index.htm
631,QUAKER CHEMICAL CORP,10-K,81362,20190228,http://www.sec.gov/Archives/edgar/data/81362/0000081362-19-000002-index.htm
632,QUANTA SERVICES INC,10-K,1050915,20190228,http://www.sec.gov/Archives/edgar/data/1050915/0001050915-19-000014-index.htm
633,QVC INC,10-K,1254699,20190228,http://www.sec.gov/Archives/edgar/data/1254699/0001254699-19-000003-index.htm
634,"Qurate Retail, Inc.",10-K,1355096,20190228,http://www.sec.gov/Archives/edgar/data/1355096/0001558370-19-001344-index.htm
635,RADIAN GROUP INC,10-K,890926,20190228,http://www.sec.gov/Archives/edgar/data/890926/0000890926-19-000009-index.htm
636,REATA PHARMACEUTICALS INC,10-K,1358762,20190228,http://www.sec.gov/Archives/edgar/data/1358762/0001564590-19-005161-index.htm
637,RIGEL PHARMACEUTICALS INC,10-K,1034842,20190228,http://www.sec.gov/Archives/edgar/data/1034842/0001558370-19-001310-index.htm
638,"RING ENERGY, INC.",10-K,1384195,20190228,http://www.sec.gov/Archives/edgar/data/1384195/0001144204-19-011298-index.htm
639,RITCHIE BROS AUCTIONEERS INC,10-K,1046102,20190228,http://www.sec.gov/Archives/edgar/data/1046102/0001279569-19-000456-index.htm
640,RPC INC,10-K,742278,20190228,http://www.sec.gov/Archives/edgar/data/742278/0001144204-19-011175-index.htm
641,"Radius Health, Inc.",10-K,1428522,20190228,http://www.sec.gov/Archives/edgar/data/1428522/0001628280-19-002275-index.htm
642,"Rapid7, Inc.",10-K,1560327,20190228,http://www.sec.gov/Archives/edgar/data/1560327/0001560327-19-000046-index.htm
643,"Revance Therapeutics, Inc.",10-K,1479290,20190228,http://www.sec.gov/Archives/edgar/data/1479290/0001479290-19-000030-index.htm
644,"Ruths Hospitality Group, Inc.",10-K,1324272,20190228,http://www.sec.gov/Archives/edgar/data/1324272/0001564590-19-005274-index.htm
645,SAFETY INSURANCE GROUP INC,10-K,1172052,20190228,http://www.sec.gov/Archives/edgar/data/1172052/0001172052-19-000005-index.htm
646,SBA COMMUNICATIONS CORP,10-K,1034054,20190228,http://www.sec.gov/Archives/edgar/data/1034054/0001034054-19-000002-index.htm
647,SCANA CORP,10-K,754737,20190228,http://www.sec.gov/Archives/edgar/data/754737/0000754737-19-000008-index.htm
648,SCIENTIFIC GAMES CORP,10-K,750004,20190228,http://www.sec.gov/Archives/edgar/data/750004/0000750004-19-000007-index.htm
649,"SERVICESOURCE INTERNATIONAL, INC.",10-K,1310114,20190228,http://www.sec.gov/Archives/edgar/data/1310114/0001310114-19-000006-index.htm
650,SHENANDOAH TELECOMMUNICATIONS CO/VA/,10-K,354963,20190228,http://www.sec.gov/Archives/edgar/data/354963/0001628280-19-002261-index.htm
651,SILGAN HOLDINGS INC,10-K,849869,20190228,http://www.sec.gov/Archives/edgar/data/849869/0000849869-19-000009-index.htm
652,"SILVERBOW RESOURCES, INC.",10-K,351817,20190228,http://www.sec.gov/Archives/edgar/data/351817/0000351817-19-000004-index.htm
653,SLM Corp,10-K,1032033,20190228,http://www.sec.gov/Archives/edgar/data/1032033/0001628280-19-002283-index.htm
654,SONOCO PRODUCTS CO,10-K,91767,20190228,http://www.sec.gov/Archives/edgar/data/91767/0000091767-19-000015-index.htm
655,SOTHEBYS,10-K,823094,20190228,http://www.sec.gov/Archives/edgar/data/823094/0000823094-19-000011-index.htm
656,SOUTH CAROLINA ELECTRIC & GAS CO,10-K,91882,20190228,http://www.sec.gov/Archives/edgar/data/91882/0000754737-19-000008-index.htm
657,SOUTH JERSEY GAS Co,10-K,1035216,20190228,http://www.sec.gov/Archives/edgar/data/1035216/0000091928-19-000032-index.htm
658,SOUTH JERSEY INDUSTRIES INC,10-K,91928,20190228,http://www.sec.gov/Archives/edgar/data/91928/0000091928-19-000032-index.htm
659,SOUTHERN CALIFORNIA EDISON CO,10-K,92103,20190228,http://www.sec.gov/Archives/edgar/data/92103/0000827052-19-000034-index.htm
660,SOUTHERN FIRST BANCSHARES INC,10-K,1090009,20190228,http://www.sec.gov/Archives/edgar/data/1090009/0001206774-19-000631-index.htm
661,SOUTHSIDE BANCSHARES INC,10-K,705432,20190228,http://www.sec.gov/Archives/edgar/data/705432/0000705432-19-000017-index.htm
662,SOUTHWEST GAS CORP,10-K,92416,20190228,http://www.sec.gov/Archives/edgar/data/92416/0001692115-19-000013-index.htm
663,SOUTHWESTERN ENERGY CO,10-K,7332,20190228,http://www.sec.gov/Archives/edgar/data/7332/0000007332-19-000010-index.htm
664,SPECTRUM PHARMACEUTICALS INC,10-K,831547,20190228,http://www.sec.gov/Archives/edgar/data/831547/0000831547-19-000006-index.htm
665,"STARWOOD PROPERTY TRUST, INC.",10-K,1465128,20190228,http://www.sec.gov/Archives/edgar/data/1465128/0001558370-19-001256-index.htm
666,STERICYCLE INC,10-K,861878,20190228,http://www.sec.gov/Archives/edgar/data/861878/0001564590-19-005500-index.htm
667,"STEVEN MADDEN, LTD.",10-K,913241,20190228,http://www.sec.gov/Archives/edgar/data/913241/0001628280-19-002264-index.htm
668,STEWART INFORMATION SERVICES CORP,10-K,94344,20190228,http://www.sec.gov/Archives/edgar/data/94344/0000094344-19-000004-index.htm
669,STONERIDGE INC,10-K,1043337,20190228,http://www.sec.gov/Archives/edgar/data/1043337/0001558370-19-001215-index.htm
670,SURGE COMPONENTS INC,10-K,747540,20190228,http://www.sec.gov/Archives/edgar/data/747540/0001213900-19-003321-index.htm
671,SVB FINANCIAL GROUP,10-K,719739,20190228,http://www.sec.gov/Archives/edgar/data/719739/0000719739-19-000018-index.htm
672,SYNOVUS FINANCIAL CORP,10-K,18349,20190228,http://www.sec.gov/Archives/edgar/data/18349/0000018349-19-000021-index.htm
673,"Sarepta Therapeutics, Inc.",10-K,873303,20190228,http://www.sec.gov/Archives/edgar/data/873303/0001564590-19-005170-index.htm
674,Schultze Special Purpose Acquisition Corp.,10-K,1754824,20190228,http://www.sec.gov/Archives/edgar/data/1754824/0001615774-19-003353-index.htm
675,SemGroup Corp,10-K,1489136,20190228,http://www.sec.gov/Archives/edgar/data/1489136/0001489136-19-000011-index.htm
676,"ServisFirst Bancshares, Inc.",10-K,1430723,20190228,http://www.sec.gov/Archives/edgar/data/1430723/0001171843-19-001375-index.htm
677,"Sierra Oncology, Inc.",10-K,1290149,20190228,http://www.sec.gov/Archives/edgar/data/1290149/0001193125-19-055556-index.htm
678,SolarEdge Technologies Inc,10-K,1419612,20190228,http://www.sec.gov/Archives/edgar/data/1419612/0001178913-19-000721-index.htm
679,"Southwest Gas Holdings, Inc.",10-K,1692115,20190228,http://www.sec.gov/Archives/edgar/data/1692115/0001692115-19-000013-index.htm
680,"Spark Therapeutics, Inc.",10-K,1609351,20190228,http://www.sec.gov/Archives/edgar/data/1609351/0001609351-19-000042-index.htm
681,"Spok Holdings, Inc",10-K,1289945,20190228,http://www.sec.gov/Archives/edgar/data/1289945/0001289945-19-000011-index.htm
682,"Stock Yards Bancorp, Inc.",10-K,835324,20190228,http://www.sec.gov/Archives/edgar/data/835324/0001437749-19-003616-index.htm
683,Sunrun Inc.,10-K,1469367,20190228,http://www.sec.gov/Archives/edgar/data/1469367/0001469367-19-000041-index.htm
684,TACTILE SYSTEMS TECHNOLOGY INC,10-K,1027838,20190228,http://www.sec.gov/Archives/edgar/data/1027838/0001558370-19-001320-index.htm
685,TAUBMAN CENTERS INC,10-K,890319,20190228,http://www.sec.gov/Archives/edgar/data/890319/0000890319-19-000030-index.htm
686,"TCG BDC II, Inc.",10-K,1702510,20190228,http://www.sec.gov/Archives/edgar/data/1702510/0001702510-19-000008-index.htm
687,TENNANT CO,10-K,97134,20190228,http://www.sec.gov/Archives/edgar/data/97134/0000097134-19-000006-index.htm
688,TEXAS PACIFIC LAND TRUST,10-K,97517,20190228,http://www.sec.gov/Archives/edgar/data/97517/0000097517-19-000015-index.htm
689,TIDEWATER INC,10-K,98222,20190228,http://www.sec.gov/Archives/edgar/data/98222/0001564590-19-005545-index.htm
690,TOWN SPORTS INTERNATIONAL HOLDINGS INC,10-K,1281774,20190228,http://www.sec.gov/Archives/edgar/data/1281774/0001281774-19-000007-index.htm
691,TRIMAS CORP,10-K,842633,20190228,http://www.sec.gov/Archives/edgar/data/842633/0000842633-19-000010-index.htm
692,Talend SA,10-K,1668105,20190228,http://www.sec.gov/Archives/edgar/data/1668105/0001668105-19-000005-index.htm
693,"Theravance Biopharma, Inc.",10-K,1583107,20190228,http://www.sec.gov/Archives/edgar/data/1583107/0001558370-19-001346-index.htm
694,Third Point Reinsurance Ltd.,10-K,1576018,20190228,http://www.sec.gov/Archives/edgar/data/1576018/0001576018-19-000028-index.htm
695,Trident Brands Inc NT,10-K,1421907,20190228,http://www.sec.gov/Archives/edgar/data/1421907/0001165527-19-000017-index.htm
696,Trinseo S.A.,10-K,1519061,20190228,http://www.sec.gov/Archives/edgar/data/1519061/0001558370-19-001261-index.htm
697,Tronox Ltd,10-K,1530804,20190228,http://www.sec.gov/Archives/edgar/data/1530804/0001140361-19-004061-index.htm
698,"UNITED AIRLINES, INC.",10-K,319687,20190228,http://www.sec.gov/Archives/edgar/data/319687/0000100517-19-000009-index.htm
699,UNITED FIRE GROUP INC,10-K,101199,20190228,http://www.sec.gov/Archives/edgar/data/101199/0000101199-19-000040-index.htm
700,UNIVEST FINANCIAL Corp,10-K,102212,20190228,http://www.sec.gov/Archives/edgar/data/102212/0000102212-19-000009-index.htm
701,"US ECOLOGY, INC.",10-K,742126,20190228,http://www.sec.gov/Archives/edgar/data/742126/0001558370-19-001291-index.htm
702,"United Continental Holdings, Inc.",10-K,100517,20190228,http://www.sec.gov/Archives/edgar/data/100517/0000100517-19-000009-index.htm
703,"United Financial Bancorp, Inc.",10-K,1501364,20190228,http://www.sec.gov/Archives/edgar/data/1501364/0001501364-19-000036-index.htm
704,United States Commodity Index Funds Trust,10-K,1479247,20190228,http://www.sec.gov/Archives/edgar/data/1479247/0001144204-19-010999-index.htm
705,UroGen Pharma Ltd.,10-K,1668243,20190228,http://www.sec.gov/Archives/edgar/data/1668243/0001564590-19-005323-index.htm
706,VALERO ENERGY CORP/TX,10-K,1035002,20190228,http://www.sec.gov/Archives/edgar/data/1035002/0001035002-19-000008-index.htm
707,VALLEY NATIONAL BANCORP,10-K,714310,20190228,http://www.sec.gov/Archives/edgar/data/714310/0000714310-19-000096-index.htm
708,VICOR CORP,10-K,751978,20190228,http://www.sec.gov/Archives/edgar/data/751978/0001193125-19-057343-index.htm
709,VIRGINIA ELECTRIC & POWER CO,10-K,103682,20190228,http://www.sec.gov/Archives/edgar/data/103682/0001193125-19-057924-index.htm
710,Veritiv Corp,10-K,1599489,20190228,http://www.sec.gov/Archives/edgar/data/1599489/0001599489-19-000003-index.htm
711,Vistra Energy Corp.,10-K,1692819,20190228,http://www.sec.gov/Archives/edgar/data/1692819/0001692819-19-000005-index.htm
712,Viva Entertainment Group Inc.,10-K,1479000,20190228,http://www.sec.gov/Archives/edgar/data/1479000/0001264931-19-000042-index.htm
713,W R GRACE & CO,10-K,1045309,20190228,http://www.sec.gov/Archives/edgar/data/1045309/0001045309-19-000025-index.htm
714,W&T OFFSHORE INC,10-K,1288403,20190228,http://www.sec.gov/Archives/edgar/data/1288403/0001564590-19-005457-index.htm
715,WABASH NATIONAL CORP /DE,10-K,879526,20190228,http://www.sec.gov/Archives/edgar/data/879526/0000879526-19-000024-index.htm
716,"WAGEWORKS, INC. NT",10-K,1158863,20190228,http://www.sec.gov/Archives/edgar/data/1158863/0001193125-19-057940-index.htm
717,WATSCO INC,10-K,105016,20190228,http://www.sec.gov/Archives/edgar/data/105016/0001193125-19-057858-index.htm
718,WEINGARTEN REALTY INVESTORS /TX/,10-K,828916,20190228,http://www.sec.gov/Archives/edgar/data/828916/0000828916-19-000013-index.htm
719,WEST BANCORPORATION INC,10-K,1166928,20190228,http://www.sec.gov/Archives/edgar/data/1166928/0001166928-19-000017-index.htm
720,WEST PHARMACEUTICAL SERVICES INC,10-K,105770,20190228,http://www.sec.gov/Archives/edgar/data/105770/0000105770-19-000012-index.htm
721,WESTAMERICA BANCORPORATION,10-K,311094,20190228,http://www.sec.gov/Archives/edgar/data/311094/0001171843-19-001381-index.htm
722,WHITING PETROLEUM CORP,10-K,1255474,20190228,http://www.sec.gov/Archives/edgar/data/1255474/0001255474-19-000009-index.htm
723,WILLIAM LYON HOMES,10-K,1095996,20190228,http://www.sec.gov/Archives/edgar/data/1095996/0001628280-19-002280-index.htm
724,WINTRUST FINANCIAL CORP,10-K,1015328,20190228,http://www.sec.gov/Archives/edgar/data/1015328/0001015328-19-000055-index.htm
725,WORLDS INC,10-K,1961,20190228,http://www.sec.gov/Archives/edgar/data/1961/0001264931-19-000040-index.htm
726,WSFS FINANCIAL CORP,10-K,828944,20190228,http://www.sec.gov/Archives/edgar/data/828944/0000828944-19-000013-index.htm
727,WYNN RESORTS LTD,10-K,1174922,20190228,http://www.sec.gov/Archives/edgar/data/1174922/0001174922-19-000021-index.htm
