,Unnamed: 0,Company Name,Form Type,CIK,Date Filed,URL,EX21
1752,1752,Global Eagle Entertainment Inc.,10-K,1512077,20190318,http://www.sec.gov/Archives/edgar/data/1512077/0001512077-19-000003-index.htm,/Archives/edgar/data/1512077/000151207719000003/ent-ex214q18.htm
1756,1756,"Griffin-American Healthcare REIT IV, Inc.",10-K,1632970,20190318,http://www.sec.gov/Archives/edgar/data/1632970/0001632970-19-000034-index.htm,/Archives/edgar/data/1632970/000163297019000034/ex211-gahr4x10xk2018xq4.htm
1757,1757,HARTE HANKS INC,10-K,45919,20190318,http://www.sec.gov/Archives/edgar/data/45919/0000045919-19-000013-index.htm,/Archives/edgar/data/45919/000004591919000013/exhibit2110k-2018.htm
1758,1758,HARVARD BIOSCIENCE INC,10-K,1123494,20190318,http://www.sec.gov/Archives/edgar/data/1123494/0001171843-19-001793-index.htm,/Archives/edgar/data/1123494/000117184319001793/exh_211.htm
1759,1759,HEALTHCARE SERVICES GROUP INC,10-K,731012,20190318,http://www.sec.gov/Archives/edgar/data/731012/0000731012-19-000040-index.htm,/Archives/edgar/data/731012/000073101219000040/exhibit21-2018subsidia.htm
1760,1760,HOMEFED CORP,10-K,833795,20190318,http://www.sec.gov/Archives/edgar/data/833795/0000833795-19-000003-index.htm,/Archives/edgar/data/833795/000083379519000003/exhibit2112312018.htm
1761,1761,HOPFED BANCORP INC,10-K,1041550,20190318,http://www.sec.gov/Archives/edgar/data/1041550/0001193125-19-078126-index.htm,/Archives/edgar/data/1041550/000119312519078126/d627715dex211.htm
1763,1763,Horizon Global Corp,10-K,1637655,20190318,http://www.sec.gov/Archives/edgar/data/1637655/0001637655-19-000030-index.htm,/Archives/edgar/data/1637655/000163765519000030/hzn-123118xexh211.htm
1764,1764,"Hunt Companies Finance Trust, Inc.",10-K,1547546,20190318,http://www.sec.gov/Archives/edgar/data/1547546/0001628280-19-003082-index.htm,/Archives/edgar/data/1547546/000162828019003082/hcft10-k20181231_ex21x1.htm
1768,1768,Internap Corp,10-K,1056386,20190318,http://www.sec.gov/Archives/edgar/data/1056386/0001628280-19-003089-index.htm,/Archives/edgar/data/1056386/000162828019003089/exhibit2100210-k.htm
1769,1769,JAKKS PACIFIC INC,10-K,1009829,20190318,http://www.sec.gov/Archives/edgar/data/1009829/0001628280-19-003040-index.htm,/Archives/edgar/data/1009829/000162828019003040/exhibit21.htm
1773,1773,LINDE PLC,10-K,1707925,20190318,http://www.sec.gov/Archives/edgar/data/1707925/0001628280-19-003050-index.htm,/Archives/edgar/data/1707925/000162828019003050/lindeplc-2018subsidiarylis.htm
1774,1774,LORAL SPACE & COMMUNICATIONS INC.,10-K,1006269,20190318,http://www.sec.gov/Archives/edgar/data/1006269/0001558370-19-002187-index.htm,/Archives/edgar/data/1006269/000155837019002187/lorl-20181231ex211b79ebe.htm
1778,1778,LivaNova PLC,10-K,1639691,20190318,http://www.sec.gov/Archives/edgar/data/1639691/0001639691-19-000035-index.htm,/Archives/edgar/data/1639691/000163969119000035/livn-20181231xex211.htm
1779,1779,"Lumber Liquidators Holdings, Inc.",10-K,1396033,20190318,http://www.sec.gov/Archives/edgar/data/1396033/0001558370-19-002205-index.htm,/Archives/edgar/data/1396033/000155837019002205/ll-20181231ex211d85591.htm
1780,1780,MACKINAC FINANCIAL CORP /MI/,10-K,36506,20190318,http://www.sec.gov/Archives/edgar/data/36506/0001558370-19-002239-index.htm,/Archives/edgar/data/36506/000155837019002239/mfnc-20181231ex21e2ceb6b.htm
1781,1781,"MAMMOTH ENERGY SERVICES, INC.",10-K,1679268,20190318,http://www.sec.gov/Archives/edgar/data/1679268/0001679268-19-000008-index.htm,/Archives/edgar/data/1679268/000167926819000008/ex-21112x31x1810xk.htm
1783,1783,MARCHEX INC,10-K,1224133,20190318,http://www.sec.gov/Archives/edgar/data/1224133/0001564590-19-008264-index.htm,/Archives/edgar/data/1224133/000156459019008264/mchx-ex211_9.htm
1787,1787,MDC PARTNERS INC,10-K,876883,20190318,http://www.sec.gov/Archives/edgar/data/876883/0000876883-19-000004-index.htm,/Archives/edgar/data/876883/000087688319000004/mdca-20181231xex21.htm
1788,1788,MIDSOUTH BANCORP INC,10-K,745981,20190318,http://www.sec.gov/Archives/edgar/data/745981/0000745981-19-000032-index.htm,/Archives/edgar/data/745981/000074598119000032/a201810kex211.htm
1790,1790,"Mistras Group, Inc.",10-K,1436126,20190318,http://www.sec.gov/Archives/edgar/data/1436126/0001436126-19-000014-index.htm,/Archives/edgar/data/1436126/000143612619000014/a123118subsidiarylistingsc.htm
1792,1792,NATURAL GAS SERVICES GROUP INC,10-K,1084991,20190318,http://www.sec.gov/Archives/edgar/data/1084991/0001084991-19-000013-index.htm,/Archives/edgar/data/1084991/000108499119000013/a123118-ngsxex211subsi.htm
1794,1794,NII HOLDINGS INC,10-K,1037016,20190318,http://www.sec.gov/Archives/edgar/data/1037016/0001037016-19-000008-index.htm,/Archives/edgar/data/1037016/000103701619000008/nihd-12312018x10kxex211.htm
1795,1795,NN INC,10-K,918541,20190318,http://www.sec.gov/Archives/edgar/data/918541/0001628280-19-003059-index.htm,/Archives/edgar/data/918541/000162828019003059/q42018ex211.htm
1796,1796,NORDSTROM INC,10-K,72333,20190318,http://www.sec.gov/Archives/edgar/data/72333/0000072333-19-000060-index.htm,/Archives/edgar/data/72333/000007233319000060/jwn-222019x10kex211.htm
1798,1798,NOVAVAX INC,10-K,1000694,20190318,http://www.sec.gov/Archives/edgar/data/1000694/0001144204-19-014640-index.htm,/Archives/edgar/data/1000694/000114420419014640/tv512700_ex21.htm
1801,1801,"Neos Therapeutics, Inc.",10-K,1467652,20190318,http://www.sec.gov/Archives/edgar/data/1467652/0001047469-19-001344-index.htm,/Archives/edgar/data/1467652/000104746919001344/a2238031zex-21_1.htm
1802,1802,Newtek Business Services Corp.,10-K,1587987,20190318,http://www.sec.gov/Archives/edgar/data/1587987/0001587987-19-000009-index.htm,/Archives/edgar/data/1587987/000158798719000009/listofsubsidiaries-123118x.htm
1803,1803,Nightstar Therapeutics plc,10-K,1711675,20190318,http://www.sec.gov/Archives/edgar/data/1711675/0001564590-19-008341-index.htm,/Archives/edgar/data/1711675/000156459019008341/nite-ex211_149.htm
1805,1805,OHIO VALLEY BANC CORP,10-K,894671,20190318,http://www.sec.gov/Archives/edgar/data/894671/0000894671-19-000015-index.htm,/Archives/edgar/data/894671/000089467119000015/sec10k123118ex21.htm
1807,1807,ONE LIBERTY PROPERTIES INC,10-K,712770,20190318,http://www.sec.gov/Archives/edgar/data/712770/0001047469-19-001388-index.htm,/Archives/edgar/data/712770/000104746919001388/a2238024zex-21_1.htm
1808,1808,"OVERSTOCK.COM, INC",10-K,1130713,20190318,http://www.sec.gov/Archives/edgar/data/1130713/0001130713-19-000016-index.htm,/Archives/edgar/data/1130713/000113071319000016/ostk-20181231xexx21.htm
1809,1809,Organogenesis Holdings Inc.,10-K,1661181,20190318,http://www.sec.gov/Archives/edgar/data/1661181/0001193125-19-078332-index.htm,/Archives/edgar/data/1661181/000119312519078332/d716594dex211.htm
1812,1812,PACIFIC CITY FINANCIAL CORP,10-K,1423869,20190318,http://www.sec.gov/Archives/edgar/data/1423869/0001423869-19-000012-index.htm,/Archives/edgar/data/1423869/000142386919000012/pcb10kex21120181231.htm
1813,1813,PAR TECHNOLOGY CORP,10-K,708821,20190318,http://www.sec.gov/Archives/edgar/data/708821/0000708821-19-000017-index.htm,/Archives/edgar/data/708821/000070882119000017/exhibit211.htm
1814,1814,PARETEUM Corp,10-K,1084384,20190318,http://www.sec.gov/Archives/edgar/data/1084384/0001144204-19-014694-index.htm,/Archives/edgar/data/1084384/000114420419014694/tv515953_ex21-1.htm
1815,1815,PC TEL INC,10-K,1057083,20190318,http://www.sec.gov/Archives/edgar/data/1057083/0001564590-19-008176-index.htm,/Archives/edgar/data/1057083/000156459019008176/pcti-ex21_6.htm
1817,1817,PFSWEB INC,10-K,1095315,20190318,http://www.sec.gov/Archives/edgar/data/1095315/0001564590-19-008334-index.htm,/Archives/edgar/data/1095315/000156459019008334/pfsw-ex21_224.htm
1818,1818,PHI INC,10-K,350403,20190318,http://www.sec.gov/Archives/edgar/data/350403/0001628280-19-003081-index.htm,/Archives/edgar/data/350403/000162828019003081/exhibit21.htm
1819,1819,"PIERIS PHARMACEUTICALS, INC.",10-K,1583648,20190318,http://www.sec.gov/Archives/edgar/data/1583648/0001583648-19-000011-index.htm,/Archives/edgar/data/1583648/000158364819000011/pirs12-31x2018ex211.htm
1820,1820,PREMIER FINANCIAL BANCORP INC,10-K,887919,20190318,http://www.sec.gov/Archives/edgar/data/887919/0000887919-19-000009-index.htm,/Archives/edgar/data/887919/000088791919000009/pfbi2018exhibit21.htm
1821,1821,"PRGX GLOBAL, INC.",10-K,1007330,20190318,http://www.sec.gov/Archives/edgar/data/1007330/0001007330-19-000004-index.htm,/Archives/edgar/data/1007330/000100733019000004/ex211201810k.htm
1825,1825,Quanterix Corp,10-K,1503274,20190318,http://www.sec.gov/Archives/edgar/data/1503274/0001047469-19-001374-index.htm,/Archives/edgar/data/1503274/000104746919001374/a2237889zex-21_1.htm
1827,1827,READING INTERNATIONAL INC,10-K,716634,20190318,http://www.sec.gov/Archives/edgar/data/716634/0000716634-19-000007-index.htm,/Archives/edgar/data/716634/000071663419000007/rdi-20181231xex21.htm
1828,1828,"RESIDEO TECHNOLOGIES, INC.",10-K,1740332,20190318,http://www.sec.gov/Archives/edgar/data/1740332/0001564590-19-008280-index.htm,/Archives/edgar/data/1740332/000156459019008280/rezi-ex211_1086.htm
1830,1830,"ROCKWELL MEDICAL, INC.",10-K,1041024,20190318,http://www.sec.gov/Archives/edgar/data/1041024/0001558370-19-002200-index.htm,/Archives/edgar/data/1041024/000155837019002200/rmti-20181231ex2110517f3.htm
1831,1831,"RadNet, Inc.",10-K,790526,20190318,http://www.sec.gov/Archives/edgar/data/790526/0001628280-19-003087-index.htm,/Archives/edgar/data/790526/000162828019003087/a10k2018exhibit211.htm
1835,1835,SB ONE BANCORP,10-K,1028954,20190318,http://www.sec.gov/Archives/edgar/data/1028954/0001028954-19-000004-index.htm,/Archives/edgar/data/1028954/000102895419000004/sbbx-exx211.htm
1836,1836,SMARTFINANCIAL INC.,10-K,1038773,20190318,http://www.sec.gov/Archives/edgar/data/1038773/0001038773-19-000006-index.htm,/Archives/edgar/data/1038773/000103877319000006/smbk_123118x10kxex21-1.htm
1837,1837,STRATUS PROPERTIES INC,10-K,885508,20190318,http://www.sec.gov/Archives/edgar/data/885508/0000885508-19-000008-index.htm,/Archives/edgar/data/885508/000088550819000008/q418exhibit211.htm
1838,1838,SYNALLOY CORP,10-K,95953,20190318,http://www.sec.gov/Archives/edgar/data/95953/0000095953-19-000043-index.htm,/Archives/edgar/data/95953/000009595319000043/synl-20181231x10kex21.htm
1840,1840,"Sailpoint Technologies Holdings, Inc.",10-K,1627857,20190318,http://www.sec.gov/Archives/edgar/data/1627857/0001564590-19-008122-index.htm,/Archives/edgar/data/1627857/000156459019008122/sail-ex211_6.htm
1843,1843,Standard AVB Financial Corp.,10-K,1492915,20190318,http://www.sec.gov/Archives/edgar/data/1492915/0001144204-19-014657-index.htm,/Archives/edgar/data/1492915/000114420419014657/tv515426_ex21.htm
1845,1845,"Switch, Inc.",10-K,1710583,20190318,http://www.sec.gov/Archives/edgar/data/1710583/0001710583-19-000010-index.htm,/Archives/edgar/data/1710583/000171058319000010/exhibit211subsidiariesofsw.htm
1846,1846,"Syneos Health, Inc.",10-K,1610950,20190318,http://www.sec.gov/Archives/edgar/data/1610950/0001610950-19-000008-index.htm,/Archives/edgar/data/1610950/000161095019000008/exhibit211_significantsubs.htm
1847,1847,TENNECO INC,10-K,1024725,20190318,http://www.sec.gov/Archives/edgar/data/1024725/0001024725-19-000004-index.htm,/Archives/edgar/data/1024725/000102472519000004/ten-20181231x10kexx21.htm
1848,1848,TORCHLIGHT ENERGY RESOURCES INC,10-K,1431959,20190318,http://www.sec.gov/Archives/edgar/data/1431959/0001654954-19-002906-index.htm,/Archives/edgar/data/1431959/000165495419002906/exhibit_21-1.htm
1849,1849,TRANSACT TECHNOLOGIES INC,10-K,1017303,20190318,http://www.sec.gov/Archives/edgar/data/1017303/0001017303-19-000020-index.htm,/Archives/edgar/data/1017303/000101730319000020/exhibit21.htm
1850,1850,TREDEGAR CORP,10-K,850429,20190318,http://www.sec.gov/Archives/edgar/data/850429/0000850429-19-000008-index.htm,/Archives/edgar/data/850429/000085042919000008/tg-ex21_20181231x10k.htm
1851,1851,Tonix Pharmaceuticals Holding Corp.,10-K,1430306,20190318,http://www.sec.gov/Archives/edgar/data/1430306/0001387131-19-001980-index.htm,/Archives/edgar/data/1430306/000138713119001980/ex21-01.htm
1852,1852,Tribune Publishing Co,10-K,1593195,20190318,http://www.sec.gov/Archives/edgar/data/1593195/0001593195-19-000017-index.htm,/Archives/edgar/data/1593195/000159319519000017/a2018q410kexhibit211.htm
1854,1854,Trinity Place Holdings Inc.,10-K,724742,20190318,http://www.sec.gov/Archives/edgar/data/724742/0001144204-19-014669-index.htm,/Archives/edgar/data/724742/000114420419014669/tv514789_ex21-1.htm
1855,1855,Turtle Beach Corp,10-K,1493761,20190318,http://www.sec.gov/Archives/edgar/data/1493761/0001493761-19-000015-index.htm,/Archives/edgar/data/1493761/000149376119000015/ex-21subsidiaries18.htm
1856,1856,U S PHYSICAL THERAPY INC /NV,10-K,885978,20190318,http://www.sec.gov/Archives/edgar/data/885978/0001140361-19-005059-index.htm,/Archives/edgar/data/885978/000114036119005059/brhc10000168x1_ex21-1.htm
1857,1857,"UNIROYAL GLOBAL ENGINEERED PRODUCTS, INC.",10-K,1172706,20190318,http://www.sec.gov/Archives/edgar/data/1172706/0001214659-19-002174-index.htm,/Archives/edgar/data/1172706/000121465919002174/ex21_1.htm
1858,1858,UNITED INSURANCE HOLDINGS CORP.,10-K,1401521,20190318,http://www.sec.gov/Archives/edgar/data/1401521/0001401521-19-000077-index.htm,/Archives/edgar/data/1401521/000140152119000077/exh21131dec18.htm
1859,1859,"UNIVERSAL LOGISTICS HOLDINGS, INC.",10-K,1308208,20190318,http://www.sec.gov/Archives/edgar/data/1308208/0001564590-19-008323-index.htm,/Archives/edgar/data/1308208/000156459019008323/ulh-ex211_8.htm
1860,1860,"URBAN ONE, INC.",10-K,1041657,20190318,http://www.sec.gov/Archives/edgar/data/1041657/0001144204-19-014649-index.htm,/Archives/edgar/data/1041657/000114420419014649/tv512292_ex21-1.htm
1861,1861,Uniti Group Inc.,10-K,1620280,20190318,http://www.sec.gov/Archives/edgar/data/1620280/0001564590-19-008290-index.htm,/Archives/edgar/data/1620280/000156459019008290/unit-ex211_6.htm
1862,1862,VERRA MOBILITY Corp,10-K,1682745,20190318,http://www.sec.gov/Archives/edgar/data/1682745/0001564590-19-008329-index.htm,/Archives/edgar/data/1682745/000156459019008329/vrrm-ex211_30.htm
1864,1864,"Veritone, Inc.",10-K,1615165,20190318,http://www.sec.gov/Archives/edgar/data/1615165/0001564590-19-008261-index.htm,/Archives/edgar/data/1615165/000156459019008261/veri-ex211_29.htm
1865,1865,VirnetX Holding Corp,10-K,1082324,20190318,http://www.sec.gov/Archives/edgar/data/1082324/0001140361-19-005116-index.htm,/Archives/edgar/data/1082324/000114036119005116/h10061330x1_ex21-1.htm
1866,1866,"WAGEWORKS, INC.",10-K,1158863,20190318,http://www.sec.gov/Archives/edgar/data/1158863/0001158863-19-000010-index.htm,/Archives/edgar/data/1158863/000115886319000010/wage-ex211q42017.htm
1867,1867,WEX Inc.,10-K,1309108,20190318,http://www.sec.gov/Archives/edgar/data/1309108/0001309108-19-000020-index.htm,/Archives/edgar/data/1309108/000130910819000020/wex20181231ex211.htm
1868,1868,"Wayside Technology Group, Inc.",10-K,945983,20190318,http://www.sec.gov/Archives/edgar/data/945983/0001558370-19-002250-index.htm,/Archives/edgar/data/945983/000155837019002250/wstg-20181231ex211b08a72.htm
1869,1869,"Westmoreland Resource Partners, LP",10-K,1412347,20190318,http://www.sec.gov/Archives/edgar/data/1412347/0001412347-19-000010-index.htm,/Archives/edgar/data/1412347/000141234719000010/exh211-listingofsubsidaries.htm
1870,1870,"Workday, Inc.",10-K,1327811,20190318,http://www.sec.gov/Archives/edgar/data/1327811/0001327811-19-000038-index.htm,/Archives/edgar/data/1327811/000132781119000038/wday-01312019xex211.htm
1871,1871,Workhorse Group Inc.,10-K,1425287,20190318,http://www.sec.gov/Archives/edgar/data/1425287/0001213900-19-004319-index.htm,/Archives/edgar/data/1425287/000121390019004319/f10k2018ex21-1_workhorse.htm
1872,1872,Zumiez Inc,10-K,1318008,20190318,http://www.sec.gov/Archives/edgar/data/1318008/0001564590-19-008267-index.htm,/Archives/edgar/data/1318008/000156459019008267/zumz-ex211_7.htm
1873,1873,"resTORbio, Inc.",10-K,1720580,20190318,http://www.sec.gov/Archives/edgar/data/1720580/0001564590-19-008262-index.htm,/Archives/edgar/data/1720580/000156459019008262/torc-ex211_29.htm
1876,1876,"Advanzeon Solutions, Inc.",10-K,22872,20190129,http://www.sec.gov/Archives/edgar/data/22872/0001615774-19-001214-index.htm,/Archives/edgar/data/22872/000161577419001214/s115463_ex21-1.htm
1881,1881,COFFEE HOLDING CO INC,10-K,1007019,20190129,http://www.sec.gov/Archives/edgar/data/1007019/0001493152-19-001104-index.htm,/Archives/edgar/data/1007019/000149315219001104/ex21-1.htm
1887,1887,NETFLIX INC,10-K,1065280,20190129,http://www.sec.gov/Archives/edgar/data/1065280/0001065280-19-000043-index.htm,/Archives/edgar/data/1065280/000106528019000043/ex211-q418.htm
1890,1890,"Pharma-Bio Serv, Inc.",10-K,1304161,20190129,http://www.sec.gov/Archives/edgar/data/1304161/0001654954-19-000854-index.htm,/Archives/edgar/data/1304161/000165495419000854/pbsv_ex211.htm
1897,1897,AMERISERV FINANCIAL INC /PA/,10-K,707605,20190305,http://www.sec.gov/Archives/edgar/data/707605/0001144204-19-012248-index.htm,/Archives/edgar/data/707605/000114420419012248/v511085_exh21x1.htm
1898,1898,"Amber Road, Inc.",10-K,1314223,20190305,http://www.sec.gov/Archives/edgar/data/1314223/0001314223-19-000007-index.htm,/Archives/edgar/data/1314223/000131422319000007/exhibit211subsidiaries.htm
1900,1900,"Armstrong Flooring, Inc.",10-K,1655075,20190305,http://www.sec.gov/Archives/edgar/data/1655075/0001655075-19-000004-index.htm,/Archives/edgar/data/1655075/000165507519000004/exhibit211-q42018.htm
1901,1901,"Axonics Modulation Technologies, Inc.",10-K,1603756,20190305,http://www.sec.gov/Archives/edgar/data/1603756/0001603756-19-000011-index.htm,/Archives/edgar/data/1603756/000160375619000011/a12312018-exhibit211.htm
1902,1902,BARRETT BUSINESS SERVICES INC,10-K,902791,20190305,http://www.sec.gov/Archives/edgar/data/902791/0001564590-19-006295-index.htm,/Archives/edgar/data/902791/000156459019006295/bbsi-ex21_8.htm
1903,1903,BASIC ENERGY SERVICES INC,10-K,1109189,20190305,http://www.sec.gov/Archives/edgar/data/1109189/0001109189-19-000025-index.htm,/Archives/edgar/data/1109189/000110918919000025/bas-20181231xex211.htm
1906,1906,"CAI International, Inc.",10-K,1388430,20190305,http://www.sec.gov/Archives/edgar/data/1388430/0001388430-19-000004-index.htm,/Archives/edgar/data/1388430/000138843019000004/cai-20181231xex21_1.htm
1907,1907,CAPITAL CITY BANK GROUP INC,10-K,726601,20190305,http://www.sec.gov/Archives/edgar/data/726601/0000726601-19-000009-index.htm,/Archives/edgar/data/726601/000072660119000009/exhibit21.htm
1910,1910,"Clear Channel Outdoor Holdings, Inc.",10-K,1334978,20190305,http://www.sec.gov/Archives/edgar/data/1334978/0001334978-19-000005-index.htm,/Archives/edgar/data/1334978/000133497819000005/ccoh2018q4exhibit21.htm
1913,1913,FARMERS NATIONAL BANC CORP /OH/,10-K,709337,20190305,http://www.sec.gov/Archives/edgar/data/709337/0001564590-19-006201-index.htm,/Archives/edgar/data/709337/000156459019006201/fmnb-ex21_11.htm
1914,1914,FATE THERAPEUTICS INC,10-K,1434316,20190305,http://www.sec.gov/Archives/edgar/data/1434316/0001564590-19-006258-index.htm,/Archives/edgar/data/1434316/000156459019006258/fate-ex211_187.htm
1915,1915,FIRST MID ILLINOIS BANCSHARES INC,10-K,700565,20190305,http://www.sec.gov/Archives/edgar/data/700565/0000700565-19-000003-index.htm,/Archives/edgar/data/700565/000070056519000003/fmbh-ex211x20181231.htm
1916,1916,GENCO SHIPPING & TRADING LTD,10-K,1326200,20190305,http://www.sec.gov/Archives/edgar/data/1326200/0001558370-19-001507-index.htm,/Archives/edgar/data/1326200/000155837019001507/gnk-20181231ex211095d14.htm
1918,1918,Garrison Capital Inc.,10-K,1509892,20190305,http://www.sec.gov/Archives/edgar/data/1509892/0001564590-19-006304-index.htm,/Archives/edgar/data/1509892/000156459019006304/gars-ex211_9.htm
1919,1919,HILLS BANCORPORATION,10-K,732417,20190305,http://www.sec.gov/Archives/edgar/data/732417/0000732417-19-000009-index.htm,/Archives/edgar/data/732417/000073241719000009/ex2112312018.htm
1920,1920,HUTTIG BUILDING PRODUCTS INC,10-K,1093082,20190305,http://www.sec.gov/Archives/edgar/data/1093082/0001564590-19-006307-index.htm,/Archives/edgar/data/1093082/000156459019006307/hbp-ex211_6.htm
1921,1921,Horizon Technology Finance Corp,10-K,1487428,20190305,http://www.sec.gov/Archives/edgar/data/1487428/0001144204-19-012224-index.htm,/Archives/edgar/data/1487428/000114420419012224/tv515286_ex21.htm
1922,1922,"Jason Industries, Inc.",10-K,1579252,20190305,http://www.sec.gov/Archives/edgar/data/1579252/0001579252-19-000028-index.htm,/Archives/edgar/data/1579252/000157925219000028/ex-21x12312018.htm
1925,1925,LIQUIDMETAL TECHNOLOGIES INC,10-K,1141240,20190305,http://www.sec.gov/Archives/edgar/data/1141240/0001437749-19-004072-index.htm,/Archives/edgar/data/1141240/000143774919004072/ex_136479.htm
1927,1927,MONROE CAPITAL Corp,10-K,1512931,20190305,http://www.sec.gov/Archives/edgar/data/1512931/0001144204-19-012276-index.htm,/Archives/edgar/data/1512931/000114420419012276/tv514438_ex21-1.htm
1928,1928,NEWLINK GENETICS CORP,10-K,1126234,20190305,http://www.sec.gov/Archives/edgar/data/1126234/0001126234-19-000026-index.htm,/Archives/edgar/data/1126234/000112623419000026/a20181231q4-ex211.htm
1929,1929,NORTHWEST INDIANA BANCORP,10-K,919864,20190305,http://www.sec.gov/Archives/edgar/data/919864/0001144204-19-012208-index.htm,/Archives/edgar/data/919864/000114420419012208/tv514147_ex21.htm
1931,1931,PARK OHIO HOLDINGS CORP,10-K,76282,20190305,http://www.sec.gov/Archives/edgar/data/76282/0000076282-19-000021-index.htm,/Archives/edgar/data/76282/000007628219000021/pkoh20181231-ex211.htm
1932,1932,POPE RESOURCES LTD PARTNERSHIP,10-K,784011,20190305,http://www.sec.gov/Archives/edgar/data/784011/0000784011-19-000060-index.htm,/Archives/edgar/data/784011/000078401119000060/pope-ex211_subsidiariesx20.htm
1933,1933,PROTECTIVE LIFE CORP,10-K,355429,20190305,http://www.sec.gov/Archives/edgar/data/355429/0000355429-19-000008-index.htm,/Archives/edgar/data/355429/000035542919000008/plc123118-exhibit21.htm
1934,1934,"Parking REIT, Inc.",10-K,1642985,20190305,http://www.sec.gov/Archives/edgar/data/1642985/0001642985-19-000003-index.htm,/Archives/edgar/data/1642985/000164298519000003/ex_21-1.htm
1935,1935,"PennyMac Financial Services, Inc.",10-K,1745916,20190305,http://www.sec.gov/Archives/edgar/data/1745916/0001558370-19-001499-index.htm,/Archives/edgar/data/1745916/000155837019001499/pfsi-20181231ex21177b1fb.htm
1936,1936,"PlayAGS, Inc.",10-K,1593548,20190305,http://www.sec.gov/Archives/edgar/data/1593548/0001593548-19-000013-index.htm,/Archives/edgar/data/1593548/000159354819000013/ex211-subsidiarylisting2.htm
1938,1938,"RTI SURGICAL, INC.",10-K,1100441,20190305,http://www.sec.gov/Archives/edgar/data/1100441/0001193125-19-063391-index.htm,/Archives/edgar/data/1100441/000119312519063391/d674465dex211.htm
1939,1939,Retail Value Inc.,10-K,1735184,20190305,http://www.sec.gov/Archives/edgar/data/1735184/0001564590-19-006279-index.htm,/Archives/edgar/data/1735184/000156459019006279/rvi-ex211_173.htm
1940,1940,Ryerson Holding Corp,10-K,1481582,20190305,http://www.sec.gov/Archives/edgar/data/1481582/0001564590-19-006287-index.htm,/Archives/edgar/data/1481582/000156459019006287/ryi-ex211_10.htm
1941,1941,SANDRIDGE ENERGY INC,10-K,1349436,20190305,http://www.sec.gov/Archives/edgar/data/1349436/0001349436-19-000009-index.htm,/Archives/edgar/data/1349436/000134943619000009/sd10-k123118xex211subs.htm
1942,1942,SCANDIUM INTERNATIONAL MINING CORP.,10-K,1408146,20190305,http://www.sec.gov/Archives/edgar/data/1408146/0001062993-19-001141-index.htm,/Archives/edgar/data/1408146/000106299319001141/exhibit21-1.htm
1943,1943,SPARTAN MOTORS INC,10-K,743238,20190305,http://www.sec.gov/Archives/edgar/data/743238/0001437749-19-004091-index.htm,/Archives/edgar/data/743238/000143774919004091/ex_136621.htm
1947,1947,TUCOWS INC /PA/,10-K,909494,20190305,http://www.sec.gov/Archives/edgar/data/909494/0001437749-19-004069-index.htm,/Archives/edgar/data/909494/000143774919004069/ex_135326.htm
1948,1948,UNITY BANCORP INC /NJ/,10-K,920427,20190305,http://www.sec.gov/Archives/edgar/data/920427/0000920427-19-000069-index.htm,/Archives/edgar/data/920427/000092042719000069/a123118exhibit211.htm
1950,1950,"Vivint Solar, Inc.",10-K,1607716,20190305,http://www.sec.gov/Archives/edgar/data/1607716/0001564590-19-006267-index.htm,/Archives/edgar/data/1607716/000156459019006267/vslr-ex211_439.htm
1951,1951,ZIOPHARM ONCOLOGY INC,10-K,1107421,20190305,http://www.sec.gov/Archives/edgar/data/1107421/0001193125-19-063978-index.htm,/Archives/edgar/data/1107421/000119312519063978/d678734dex211.htm
1952,1952,"iHeartMedia, Inc.",10-K,1400891,20190305,http://www.sec.gov/Archives/edgar/data/1400891/0001400891-19-000006-index.htm,/Archives/edgar/data/1400891/000140089119000006/ihmedia2018q4exhibit21.htm
1954,1954,KB HOME,10-K,795266,20190124,http://www.sec.gov/Archives/edgar/data/795266/0000795266-19-000005-index.htm,/Archives/edgar/data/795266/000079526619000005/kbh-11302018x10kexhibit21.htm
1957,1957,AEROCENTURY CORP,10-K,1036848,20190319,http://www.sec.gov/Archives/edgar/data/1036848/0001036848-19-000005-index.htm,/Archives/edgar/data/1036848/000103684819000005/acysubsdiaries.htm
1959,1959,ASURE SOFTWARE INC,10-K,884144,20190319,http://www.sec.gov/Archives/edgar/data/884144/0001185185-19-000390-index.htm,/Archives/edgar/data/884144/000118518519000390/ex_137836.htm
1966,1966,BayCom Corp,10-K,1730984,20190319,http://www.sec.gov/Archives/edgar/data/1730984/0001144204-19-014741-index.htm,/Archives/edgar/data/1730984/000114420419014741/tv515722_exh21.htm
1970,1970,CHICOS FAS INC,10-K,897429,20190319,http://www.sec.gov/Archives/edgar/data/897429/0000897429-19-000061-index.htm,/Archives/edgar/data/897429/000089742919000061/exhibit21-subsidiariesofre.htm
1973,1973,"CNL Strategic Capital, LLC",10-K,1684682,20190319,http://www.sec.gov/Archives/edgar/data/1684682/0001684682-19-000005-index.htm,/Archives/edgar/data/1684682/000168468219000005/cnl123118ex211.htm
1988,1988,"Delta Tucker Holdings, Inc.",10-K,1514226,20190319,http://www.sec.gov/Archives/edgar/data/1514226/0001514226-19-000013-index.htm,/Archives/edgar/data/1514226/000151422619000013/dth123118ex211.htm
